id,location,fault_severity,severity_type,event_type,log_feature,resource_type,text_for_ai
14121,location 118,1,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 14121 à location 118. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
9320,location 91,0,severity_type 2,"event_type 34, event_type 35","feature 315, feature 235",resource_type 2,"Incident 9320 à location 91. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 315, feature 235], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
14394,location 152,1,severity_type 2,"event_type 35, event_type 34","feature 221, feature 301",resource_type 2,"Incident 14394 à location 152. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 221, feature 301], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
8218,location 931,1,severity_type 1,"event_type 15, event_type 11","feature 80, feature 82, feature 203",resource_type 8,"Incident 8218 à location 931. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 80, feature 82, feature 203], Événements [event_type 15, event_type 11], Ressource [resource_type 8]."
14804,location 120,0,severity_type 1,"event_type 34, event_type 11, event_type 36, event_type 20","feature 134, feature 219, feature 117, feature 227, feature 237, feature 232, feature 181, feature 160, feature 29","resource_type 2, resource_type 8","Incident 14804 à location 120. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 134, feature 219, feature 117, feature 227, feature 237, feature 232, feature 181, feature 160, feature 29], Événements [event_type 34, event_type 11, event_type 36, event_type 20], Ressource [resource_type 2, resource_type 8]."
1080,location 664,0,severity_type 1,event_type 11,"feature 171, feature 55",resource_type 8,"Incident 1080 à location 664. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 171, feature 55], Événements [event_type 11], Ressource [resource_type 8]."
9731,location 640,0,severity_type 4,event_type 50,feature 374,resource_type 2,"Incident 9731 à location 640. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 374], Événements [event_type 50], Ressource [resource_type 2]."
15505,location 122,0,severity_type 2,"event_type 34, event_type 35","feature 235, feature 233, feature 313, feature 315, feature 232, feature 312",resource_type 2,"Incident 15505 à location 122. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 235, feature 233, feature 313, feature 315, feature 232, feature 312], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
3443,location 263,1,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 3443 à location 263. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
13300,location 613,1,severity_type 1,"event_type 54, event_type 15","feature 71, feature 82",resource_type 8,"Incident 13300 à location 613. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 71, feature 82], Événements [event_type 54, event_type 15], Ressource [resource_type 8]."
8976,location 760,1,severity_type 1,"event_type 11, event_type 2","feature 136, feature 87, feature 209",resource_type 8,"Incident 8976 à location 760. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 136, feature 87, feature 209], Événements [event_type 11, event_type 2], Ressource [resource_type 8]."
7965,location 519,0,severity_type 2,"event_type 34, event_type 35","feature 312, feature 232",resource_type 2,"Incident 7965 à location 519. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 232], Événements [event_type 34, event_type 35], Ressource [resource_type 2]."
10342,location 746,0,severity_type 1,"event_type 11, event_type 20","feature 134, feature 166, feature 219, feature 50","resource_type 2, resource_type 8","Incident 10342 à location 746. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 134, feature 166, feature 219, feature 50], Événements [event_type 11, event_type 20], Ressource [resource_type 2, resource_type 8]."
6741,location 1066,1,severity_type 1,"event_type 11, event_type 13","feature 68, feature 273","resource_type 8, resource_type 6","Incident 6741 à location 1066. Statut Final: ALERTE MINEURE (Quelques erreurs). Détails Techniques: Logs [feature 68, feature 273], Événements [event_type 11, event_type 13], Ressource [resource_type 8, resource_type 6]."
7187,location 812,0,severity_type 1,event_type 11,"feature 167, feature 55, feature 171, feature 51",resource_type 8,"Incident 7187 à location 812. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 167, feature 55, feature 171, feature 51], Événements [event_type 11], Ressource [resource_type 8]."
16780,location 343,0,severity_type 2,event_type 34,"feature 232, feature 227",resource_type 2,"Incident 16780 à location 343. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 232, feature 227], Événements [event_type 34], Ressource [resource_type 2]."
14195,location 133,0,severity_type 2,"event_type 35, event_type 34","feature 312, feature 313, feature 233, feature 232",resource_type 2,"Incident 14195 à location 133. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 312, feature 313, feature 233, feature 232], Événements [event_type 35, event_type 34], Ressource [resource_type 2]."
14025,location 976,0,severity_type 1,"event_type 54, event_type 15","feature 82, feature 71","resource_type 8, resource_type 2","Incident 14025 à location 976. Statut Final: AUCUNE PANNE (Fonctionnement normal). Détails Techniques: Logs [feature 82, feature 71], Événements [event_type 54, event_type 15], Ressource [resource_type 8, resource_type 2]."
